#,repo,file_path,commit_url,description,category,affected_instructions,
1,9600dev/mmr,Dockerfile,https://github.com/9600dev/mmr/commit/b08e63b7044f2b2061d8679b216822c82d309c86,dependency version bumps; styling,"UBS,S","RUN,RUN,RUN",
2,9600dev/mmr,Dockerfile,https://github.com/9600dev/mmr/commit/a3e9a22a4e3be85247c578514a3fbec13901caf1,add dockerfile,AD,*,
3,c2corg/serac-ui,Dockerfile,https://github.com/c2corg/serac-ui/commit/53a49137f1112b5ed7f4e95a89051ceec89e5f6f,update script path (fix),R,RUN,
4,c2corg/serac-ui,Dockerfile,https://github.com/c2corg/serac-ui/commit/fac18897cfc863376df07a866e62ab444587e882,add dockerfile,AD,*,
5,camptocamp/c2cciutils,Dockerfile,https://github.com/camptocamp/c2cciutils/commit/81f253e425502b3d08ce770d9137ebf47a50a8e6,update build step; add cache,UBS,"RUN,RUN,RUN,RUN,RUN",
6,camptocamp/c2cciutils,Dockerfile,https://github.com/camptocamp/c2cciutils/commit/866c541e04e733c3165fd89e4219cafbfd2bce5f,add build step; combine RUN instructions,ABS,"RUN,RUN",
7,camptocamp/c2cciutils,Dockerfile,https://github.com/camptocamp/c2cciutils/commit/2cd0e6a1c09676d29d8c144009727c975434cff3,upate build step; separate dependencies,UBS,"COPY,RUN",
8,camptocamp/c2cciutils,Dockerfile,https://github.com/camptocamp/c2cciutils/commit/e7e40adad8313a2156d6780df7d98fce183c1c25,update base image; update/add build steps; use pipfile for deps,"UBI,UBS","FROM,RUN,RUN,RUN,RUN,RUN,RUN,COPY,COPY",
9,camptocamp/c2cciutils,Dockerfile,https://github.com/camptocamp/c2cciutils/commit/980343dc7429405d842517efcf4dd76539ae1b00,update build step,UBS,RUN,
11,camptocamp/c2cciutils,Dockerfile,https://github.com/camptocamp/c2cciutils/commit/43fcda83b08d851a87cc696a8d033202d9499ed9,add dockerfile,AD,*,
13,ccnmtl/mediathread,Dockerfile,https://github.com/ccnmtl/mediathread/commit/efead284cd02584da7ea9b800b930dd5fa316b6a,commented instruction,MC,ENV,
14,ccnmtl/mediathread,Dockerfile,https://github.com/ccnmtl/mediathread/commit/7cda9d5568893cce505445aa65431ddd770fdcc2,update build step (dep); commented instruction,"UBS,MC","RUN,RUN",
15,ccnmtl/mediathread,Dockerfile,https://github.com/ccnmtl/mediathread/commit/8a5cb587857c6f4e7891513c14a68e7c84c60177,update build step(dep); add folder,"UBS,R","RUN,ADD",
16,ccnmtl/mediathread,Dockerfile,https://github.com/ccnmtl/mediathread/commit/9dfa9f64b1549b39d9066ac02f020467a2fe6ba4,uncommented instruction,MC,RUN,
17,ccnmtl/mediathread,Dockerfile,https://github.com/ccnmtl/mediathread/commit/484d0e17973617f8799fa8694e9820a789533381,add dockerfile,AD,*,
18,corinagum/WebChat-release-testing,Dockerfile,https://github.com/corinagum/WebChat-release-testing/commit/0b58794e2dc57693c0e0cdacb25a399af581817c,add dockerfile,AD,*,
19,emdgroup-liquid/liquid,Dockerfile,https://github.com/emdgroup-liquid/liquid/commit/6b2164406b83e27cda9bc79dc919548f2f3189ea,update base image; styling,"UBI,S",FROM,
