#,repo,file_path,commit_url,description,category,affected_instructions,
199,aaberg/sql2o,extensions/oracle/Dockerfile,https://github.com/aaberg/sql2o/commit/ca3215a21309fd78785ed8c00aee68df8b6440fd,add dockerfile,AD,*,
200,albfan/miraclecast,cmake.Dockerfile,https://github.com/albfan/miraclecast/commit/4f37045eea9d5da1b3840144381160a905275244,add dockerfile,AD,*,
201,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/bdfcdb9ffa14e4952b8101db73ddf15b7b5dc71b,remove build step,RBS,RUN,
202,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/d60cc7ca209b19b6b1f2f10667ad8a0d7da8ba35,update build steps; udpate env,UBS,"ARG,ENV",
203,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/504187cbeb6a0228b110a48e8fc2fbffc8ef9b10,add build steps; udpate env,ABS,"ENV,ENV",
204,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/f258c8a66cd9a651c6dc9a5ef98752c5510a25e9,remove comments,MC,,
205,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/7b5b7e6901ed8a53a40aabd53393df01fd790132,remove build step (deps),RBS,RUN,
206,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/98ca4a42674a3073c3f281fb71e2d2d90a321638,add build step (deps),ABS,RUN,
207,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/38f6cdfc3e0e5d9f12d69c0867a88b8e609977d9,add dockerfile,AD,*,
208,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/c7939d50dcb5a37dde750da1b4f9c3b9f4c169e5,add labels,ML,"LABEL,LABEL",
209,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/8987fdef4bd062716dcd5a4a7ff9174620679b48,update build step (add dep),UBS,RUN,
210,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/7eb97a6609a5e831d625708d3dde171d982f8b5a,update build step (add dep),UBS,RUN,
211,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/667ee1507d582b290ae8b9224bbb562109a0c8a6,add build steps; udpate env,ABS,"ENV,ENV",
212,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/6ab6a8897c24194a69067ab02999ce3d5b8f7e73,update build step (add dep),UBS,RUN,
213,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/b595a96053e4520e5d0cadf7bebd125d5196d1f7,styling (remove whitespace),S,RUN,
214,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/b9ab232b03e9793186b251f592639de9281da722,update base image,UBI,FROM,
215,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/13b961afe5529f646539f34c9e814944f71c640c,update base image,UBI,FROM,
216,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/29e52f1176e662994677fb7c862787a0e2b2331d,add dockerfile,AD,*,
217,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/34db185a8462b4647bd60734513ec8d533782b2f,remove dockerfile,RD,,
218,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/e8d45986752f6b3e33821aeb128e4bbd0717506a,update base image,UBI,FROM,
219,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/9acb54366d0770ae98f48127e8e7ba3d1604aed6,update base image (RENAME),"UBI,R",FROM,
220,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/6530d15d35d19eb17d806268688dbd2e5ed16e7f,update build steps (deps),UBS,RUN,
221,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/9f1b346dd229473459f388704c7a42c8c762d0a5,update build step (remove dep),UBS,RUN,
222,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/04725b75147f3c7df11ff2d0ad0ed04cfa4c515f,update build step (dep),UBS,RUN,
223,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/33482d22ab36342b8cfd8ae33e1032d217e20451,update build step (split deps - multiple run cmds),UBS,"RUN,RUN",
224,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/9e8ed8437cc80b6b90315125911d9d1f27648b78,update build step (deps),UBS,"RUN,RUN",
225,Bioconductor/bioc_docker,out/release_metabolomics/Dockerfile,https://github.com/Bioconductor/bioc_docker/commit/52a591ecdecc1aad70b973925d13e564a9352bac,add dockerfile,AD,*,
226,dacunni/FastRender,docker/Dockerfile,https://github.com/dacunni/FastRender/commit/7d5a5c0524952395a444a71916c74cfa8728b17b,add dockerfile,AD,*,
227,EBISPOT/goci,goci-interfaces/goci-pussycat/Dockerfile,https://github.com/EBISPOT/goci/commit/d3ae492d5de54061d08251ddfb8f8169ca27fecb,add dockerfile,AD,*,
228,elastic/examples,Miscellaneous/docker/full_stack_example/config/apache2/Dockerfile,https://github.com/elastic/examples/commit/de092266152ce41ffcc6377591be288b9f02337c,add dockerfile,AD,*,
229,gggeek/phpxmlrpc,tests/ci/Dockerfile,https://github.com/gggeek/phpxmlrpc/commit/9ea80b6afb66c464ac9bfb2cf97ff80231f12dd6,update build step (BASE IMAGE),UBI,ARG,
230,gggeek/phpxmlrpc,tests/ci/Dockerfile,https://github.com/gggeek/phpxmlrpc/commit/f9b6f0e202eb6fa3f87a6ce309b9091569f43615,change paths,R,WORKDIR,
