repo_name,year,file_size,loc,owner_type,language,size,base_image_full,base_image
filo-movie/filomovie,2021,660,11,Organization,Python,16479,ubuntu:18.04,ubuntu
ABeltramo/soundbot-gui,2021,832,22,User,TypeScript,2459,backend,backend
design-driven-research/grand-central,2021,145,4,Organization,Clojure,115,openjdk:8-alpine,openjdk
frasercl/MMGIS,2021,471,11,User,JavaScript,82942,node:12,node
HBPMedical/DataQualityControlTool,2021,401,7,Organization,Python,102566,python:3.7-slim,python
ghostplant/antares,2020,2282,34,User,Python,1176,nvidia/cuda:10.0-cudnn7-devel-ubuntu18.04,nvidia/cuda
shivapoudyal/docker-tut,2020,814,7,User,Python,19,node,node
eduosumi/conversao-peso,2021,555,12,User,C#,728,mcr.microsoft.com/dotnet/aspnet:5.0,mcr.microsoft.com/dotnet/aspnet
kwoodson/machine-config-operator,2021,846,12,User,Go,34898,registry.ci.openshift.org/ocp/4.10:base,registry.ci.openshift.org/ocp/4.10
Informasjonsforvaltning/fdk-portal,2021,1000,31,Organization,TypeScript,313774,nginx:alpine,nginx
Informasjonsforvaltning/user-api,2021,200,6,Organization,Kotlin,110,openjdk:15-slim,openjdk
Informasjonsforvaltning/concept-catalogue-gui,2021,1174,33,Organization,TypeScript,5985,nginx:alpine,nginx
Informasjonsforvaltning/records-of-processing-activities,2021,224,6,Organization,Kotlin,899,openjdk:15-slim,openjdk
Informasjonsforvaltning/sso,2021,3149,31,Organization,FreeMarker,384,jboss/keycloak:6.0.1,jboss/keycloak
Informasjonsforvaltning/fdk-reference-data,2021,606,17,Organization,Java,10936,openjdk:15-slim,openjdk
zshiningstar/yolov5,2021,1984,11,User,Python,9754,nvcr.io/nvidia/pytorch:21.05-py3,nvcr.io/nvidia/pytorch
CryptoKasm/NineChronicles,2021,1055,30,Organization,C#,954064,bitnami/minideb:stretch,bitnami/minideb
madosuki/voicevox,2021,312,12,User,TypeScript,12316,node:14.17.4,node
alvyfz/ca-myproperty,2021,202,11,User,Go,117,alpine:latest,alpine
lolwolfey/CSE442-Project,2021,218,7,User,Python,537,python:3.7.4,python
RDPerera/ProjectX,2021,1984,11,User,Python,355,nvcr.io/nvidia/pytorch:21.05-py3,nvcr.io/nvidia/pytorch
coopdevs/decidim-coopcat,2020,28,1,Organization,Ruby,786,decidim/decidim:0.21.0,decidim/decidim
Pearson-Advance/edx-platform,,2616,72,Organization,Python,1317691,cms,cms
kaosagnt/boot2docker-xfs-ng,2021,18487,403,User,Shell,2220,debian:bullseye-slim,debian
rolaru/svg-path-editor,2021,206,9,User,TypeScript,9151,node:current,node
arc42/docs.arc42.org-site,2021,302,11,Organization,SCSS,15935,jekyll/builder:latest,jekyll/builder
vlang/v,2021,668,19,Organization,V,44480,buildpack-deps:buster-curl,buildpack-deps
dcblack/systemc-complete,2020,3574,99,User,Perl,235,ubuntu:latest,ubuntu
michaelahli/postgre-scheduler,2021,290,11,User,Go,27,golang:1.17.0-alpine3.13,golang
irahulranjan/go-shopify,2020,152,4,User,Go,511,golang:1.14-alpine,golang
epistoteles/Modergator,2021,280,8,User,Python,108131,python:3.8,python
CodeProcessor/DeepLab-Training-Pipeline,2021,721,12,User,Python,567,tensorflow/tensorflow:2.5.1-gpu,tensorflow/tensorflow
tanakahk/Backend-Studies,2021,229,4,User,JavaScript,328,node:14-buster,node
tanakahk/full-stack-API,2021,86,4,User,JavaScript,268,node:14-buster,node
finiam/rails-starter,2021,954,34,Organization,Ruby,6942,ruby:${RUBY_VERSION}-alpine,ruby
materials-commons/materialscommons,2020,387,9,Organization,PHP,16807,php:7.3-cli,php
TheresNoGit/TheresNoDiscordBot,2021,357,10,Organization,Python,149,python:3.10.0rc2-buster,python
ngi-nix/cwe_checker,2021,884,18,Organization,Rust,7815,fkiecad/ghidra_headless_base:9.2.1,fkiecad/ghidra_headless_base
CiscoDevNet/sastre,2020,619,16,Organization,Python,580,python:3.9-alpine,python
nonnil/TorCi,2021,746,12,User,Nim,11014,nimlang/nim:alpine,nimlang/nim
1nf1nateL00p3r/jackhammer,2019,898,21,User,Java,66964,ubuntu:18.04,ubuntu
lushenle/cse546-project3,2021,2398,27,User,Python,12,python-alpine,python-alpine
kofj/docs,2020,1889,42,User,Shell,54909,perl:5.30-buster,perl
tustustushar/MUSIC,2021,344,12,User,Python,448,python:3.9.6-slim-buster,python
ValterH/opencv_aws_lambda_windows,2021,1231,25,User,Dockerfile,43797,amazonlinux,amazonlinux
poziom-szczepien/poziom-szczepien.github.io,2021,200,11,User,JavaScript,16008,openjdk:16-jdk-buster,openjdk
textbook/impasse,2021,625,25,User,JavaScript,20509,node:${NODE_RELEASE}-alpine${ALPINE_RELEASE},node
textbook/starter-kit,2021,654,25,User,JavaScript,22590,node:${NODE_RELEASE}-alpine${ALPINE_RELEASE},node
eonwarped/nitrous,2020,1265,27,User,None,70010,node:12.16.2-alpine,node
calendso/docker,2021,833,24,Organization,Shell,54,node:14-alpine,node
kevin-s31/goof,2021,222,10,User,JavaScript,5292,node:14.1.0,node
Journaly/journaly,2021,857,28,Organization,TypeScript,20450,node:14,node
NeilBrandon/Node-RED-Docker,2019,1090,34,User,JavaScript,32,node:lts-slim,node
clandestine-condor/reviews-service,2021,547,4,Organization,JavaScript,33,node:14.18-alpine,node
TJMoats/WoWAnalyzer,2021,155,5,User,TypeScript,364875,nginx:stable-alpine,nginx
PixelExperience/wiki,2021,247,9,Organization,SCSS,101623,docker.io/ruby:2.4,docker.io/ruby
eduardocerqueira/janitor,2021,659,19,User,Python,131,centos:8,centos
eduardocerqueira/seeker,2021,1245,28,User,Python,1971,registry.access.redhat.com/ubi8/python-38,registry.access.redhat.com/ubi8/python-38
patrocinio/jmeter-ibmmq,2021,1990,30,User,Java,7972,alpine:3.12,alpine
raghavTinker/Github-Visualizer,2021,891,10,User,Python,212,python:3.8-slim-buster,python
VKCOM/kphp,2020,747,13,Organization,C++,31522,ubuntu:20.04,ubuntu
FloatingMilkshake/DiscordBot,2021,289,10,User,C#,412,mcr.microsoft.com/dotnet/runtime:5.0-alpine,mcr.microsoft.com/dotnet/runtime
SwitchbladeBot/switchblade,2021,113,7,Organization,JavaScript,16080,node:16,node
project-oak/oak,2021,14258,199,Organization,Rust,94719,debian/snapshot:${debian_snapshot},debian/snapshot
Mmasson-01/udemy-docker,2021,325,9,User,JavaScript,31,nginx,nginx
jchima/container-ci-demo,2021,189,4,User,Java,215,openjdk:8-jdk-alpine,openjdk
bert-w/version-comparison-heatmap,2021,862,19,User,JavaScript,25,php:7.4-fpm,php
f1nal3/Juniorgram,2021,123,4,User,C++,4188,postgres,postgres
TurboCheetah/succubus.space-api,2021,454,18,User,TypeScript,22659,gcr.io/distroless/nodejs:14,gcr.io/distroless/nodejs
LuanEdCosta/gui-v2,2020,340,14,User,None,3899,nginx:1.19,nginx
verywitted/mediapipe-1,2019,2044,34,User,C++,208000,ubuntu:latest,ubuntu
Filum-AI/filum-java-sdk,2021,67,4,Organization,Java,45096,gradle:jdk11,gradle
eoinmcafee00/HelloWorldCore,2021,537,15,User,Dockerfile,97,base,base
akshaysu12/gdc-pipeline,2021,1839,34,User,Python,10,builder,builder
brandond/rke2,2020,2261,45,User,None,24356,scratch,scratch
brecke/Hilary,2021,2409,39,User,JavaScript,32164,node:12-alpine3.9,node
leonardvdj/delist_util,2021,88,5,User,JavaScript,28,node:16-alpine,node
PerchunPak/PingerBotTEST,2021,178,7,User,Python,155,gorialis/discord.py,gorialis/discord.py
PerchunPak/PingerBot,2021,178,7,User,Python,596,gorialis/discord.py,gorialis/discord.py
noemission/mongo-s3-dumper,2021,262,9,User,Shell,2,alpine:3.14,alpine
usaginotsuki/avatarify-open-fork,2021,1882,26,User,Python,15136,nvcr.io/nvidia/cuda:10.0-cudnn7-runtime-ubuntu18.04,nvcr.io/nvidia/cuda
jhassine/server-ip-addresses,2020,115,5,User,Shell,1904,alpine:3.12,alpine
sharon-wang/CSharpLab,2020,373,9,User,C#,704,mcr.microsoft.com/dotnet/core/aspnet:3.1,mcr.microsoft.com/dotnet/core/aspnet
verrazzano/istio-coredns-plugin,2021,207,4,Organization,Go,41063,tutum/curl,tutum/curl
verrazzano/node_exporter,2019,333,10,Organization,Go,11355,quay.io/prometheus/busybox-${OS}-${ARCH}:glibc,quay.io/prometheus/busybox-${OS}-${ARCH}
verrazzano/oam-kubernetes-runtime,2021,945,14,Organization,Go,1210,oamdev/gcr.io-distroless-static:nonroot,oamdev/gcr.io-distroless-static
yieldscan/yieldscan-frontend,2021,690,18,Organization,JavaScript,6213,node:lts,node
rebeccaringuette/Kamodo,2021,1282,12,User,Jupyter Notebook,59728,continuumio/miniconda3:latest,continuumio/miniconda3
LinkSake/technical-challenge,2021,1142,24,User,Ruby,732,ruby:3.0.2-slim,ruby
ksimon1/ssp-operator,2021,853,21,User,Go,14377,registry.access.redhat.com/ubi8/ubi-minimal,registry.access.redhat.com/ubi8/ubi-minimal
PI2-VANT/Backend-User,2021,88,4,Organization,TypeScript,435,node:15,node
PI2-VANT/Frontend,2021,117,5,Organization,TypeScript,786,node:14-alpine,node
maximmacari/Fluent_Vapor,2021,2184,24,User,Swift,13,swift:5.4-focal-slim,swift
ameyp/dotfiles,2018,549,16,User,Emacs Lisp,228,ubuntu:16.04,ubuntu
highperformancecoder/minsky,2020,332,5,User,C++,84438,highperformancecoder/builttravisciimage,highperformancecoder/builttravisciimage
GiyoMoon/WitchTrade-FE,2021,1055,27,Organization,TypeScript,3311,node:lts-alpine3.14,node
ClaudePlos/nap_cash_registers,2021,123,4,User,JavaScript,3719,openjdk:8-jdk-alpine,openjdk
03k64/quiche,2021,1124,27,User,Rust,17387,martenseemann/quic-network-simulator-endpoint:latest,martenseemann/quic-network-simulator-endpoint
nhuanluong/livekit-server,2021,644,14,User,Go,1715,alpine,alpine
MustafaRa46/CSE442ProjectA,2021,135,7,User,CSS,4208,node:14,node
metridoc/metridoc-rails,2021,1776,34,Organization,HTML,7757,phusion/passenger-ruby25:1.0.9,phusion/passenger-ruby25
hanin77/javascript-functions,2019,187,9,User,JavaScript,264,node:12.7-alpine,node
Teslow/apps,2020,823,18,User,None,161619,nginx:stable-alpine,nginx
mcclurec/homer,2021,789,22,User,Vue,4263,alpine:3.11,alpine
GadaleanIuliaGabriela/Emergya,2021,687,22,User,PHP,1195,drupal:8-apache,drupal
yearn/yearn-exporter,2021,207,7,Organization,Python,594,python:3.8-buster,python
minswap/private-alonzo-testnet,2021,460,14,Organization,Shell,592,debian:buster-slim,debian
alexyao2015/Nextcloud-Docker,2021,1206,45,User,Dockerfile,85,nextcloud:22.2.0-fpm-alpine,nextcloud
d-r-e/woody_woodpacker,2021,767,11,User,C,352,debian:buster,debian
anssilap/qmk_firmware,2019,101,5,User,C,179149,qmkfm/base_container,qmkfm/base_container
apoclyps/reviews,2021,502,9,User,Python,1253,python:3.10.0-alpine,python
madgeek-arc/resource-catalogue-ui-openaire,2020,455,13,Organization,HTML,55072,nginx:alpine,nginx
