repo_name,smell_code,type,level,year,file_size,loc,owner_type,language,size
filo-movie/filomovie,DL3008,DL,warning,2021,660,11,Organization,Python,16479
filo-movie/filomovie,DL3042,DL,warning,2021,660,11,Organization,Python,16479
filo-movie/filomovie,DL3025,DL,warning,2021,660,11,Organization,Python,16479
ABeltramo/soundbot-gui,DL3004,DL,error,2021,832,22,User,TypeScript,2459
ABeltramo/soundbot-gui,DL3018,DL,warning,2021,832,22,User,TypeScript,2459
ABeltramo/soundbot-gui,DL3018,DL,warning,2021,832,22,User,TypeScript,2459
frasercl/MMGIS,DL3008,DL,warning,2021,471,11,User,JavaScript,82942
HBPMedical/DataQualityControlTool,DL3008,DL,warning,2021,401,7,Organization,Python,102566
HBPMedical/DataQualityControlTool,DL3042,DL,warning,2021,401,7,Organization,Python,102566
ghostplant/antares,DL4000,DL,error,2020,2282,34,User,Python,1176
ghostplant/antares,DL3027,DL,warning,2020,2282,34,User,Python,1176
ghostplant/antares,DL4006,DL,warning,2020,2282,34,User,Python,1176
ghostplant/antares,DL3027,DL,warning,2020,2282,34,User,Python,1176
ghostplant/antares,DL3008,DL,warning,2020,2282,34,User,Python,1176
ghostplant/antares,SC2039,SC,warning,2020,2282,34,User,Python,1176
ghostplant/antares,DL3013,DL,warning,2020,2282,34,User,Python,1176
ghostplant/antares,DL3042,DL,warning,2020,2282,34,User,Python,1176
ghostplant/antares,DL3003,DL,warning,2020,2282,34,User,Python,1176
ghostplant/antares,DL3020,DL,error,2020,2282,34,User,Python,1176
ghostplant/antares,DL3003,DL,warning,2020,2282,34,User,Python,1176
shivapoudyal/docker-tut,DL3006,DL,warning,2020,814,7,User,Python,19
kwoodson/machine-config-operator,DL3003,DL,warning,2021,846,12,User,Go,34898
Informasjonsforvaltning/fdk-portal,DL3016,DL,warning,2021,1000,31,Organization,TypeScript,313774
Informasjonsforvaltning/user-api,DL3045,DL,warning,2021,200,6,Organization,Kotlin,110
Informasjonsforvaltning/user-api,DL3025,DL,warning,2021,200,6,Organization,Kotlin,110
Informasjonsforvaltning/concept-catalogue-gui,DL3018,DL,warning,2021,1174,33,Organization,TypeScript,5985
Informasjonsforvaltning/concept-catalogue-gui,DL3016,DL,warning,2021,1174,33,Organization,TypeScript,5985
Informasjonsforvaltning/records-of-processing-activities,DL3020,DL,error,2021,224,6,Organization,Kotlin,899
Informasjonsforvaltning/records-of-processing-activities,DL3025,DL,warning,2021,224,6,Organization,Kotlin,899
Informasjonsforvaltning/fdk-reference-data,DL3025,DL,warning,2021,606,17,Organization,Java,10936
zshiningstar/yolov5,DL3027,DL,warning,2021,1984,11,User,Python,9754
zshiningstar/yolov5,DL3045,DL,warning,2021,1984,11,User,Python,9754
zshiningstar/yolov5,DL3042,DL,warning,2021,1984,11,User,Python,9754
zshiningstar/yolov5,DL3013,DL,warning,2021,1984,11,User,Python,9754
zshiningstar/yolov5,DL3042,DL,warning,2021,1984,11,User,Python,9754
zshiningstar/yolov5,DL3013,DL,warning,2021,1984,11,User,Python,9754
zshiningstar/yolov5,DL3042,DL,warning,2021,1984,11,User,Python,9754
CryptoKasm/NineChronicles,DL3008,DL,warning,2021,1055,30,Organization,C#,954064
CryptoKasm/NineChronicles,DL3027,DL,warning,2021,1055,30,Organization,C#,954064
madosuki/voicevox,DL4006,DL,warning,2021,312,12,User,TypeScript,12316
alvyfz/ca-myproperty,DL3007,DL,warning,2021,202,11,User,Go,117
lolwolfey/CSE442-Project,DL3042,DL,warning,2021,218,7,User,Python,537
lolwolfey/CSE442-Project,DL3025,DL,warning,2021,218,7,User,Python,537
RDPerera/ProjectX,DL3027,DL,warning,2021,1984,11,User,Python,355
RDPerera/ProjectX,DL3045,DL,warning,2021,1984,11,User,Python,355
RDPerera/ProjectX,DL3042,DL,warning,2021,1984,11,User,Python,355
RDPerera/ProjectX,DL3013,DL,warning,2021,1984,11,User,Python,355
RDPerera/ProjectX,DL3042,DL,warning,2021,1984,11,User,Python,355
RDPerera/ProjectX,DL3013,DL,warning,2021,1984,11,User,Python,355
RDPerera/ProjectX,DL3042,DL,warning,2021,1984,11,User,Python,355
Pearson-Advance/edx-platform,DL3027,DL,warning,,2616,72,Organization,Python,1317691
Pearson-Advance/edx-platform,DL3042,DL,warning,,2616,72,Organization,Python,1317691
Pearson-Advance/edx-platform,DL3042,DL,warning,,2616,72,Organization,Python,1317691
Pearson-Advance/edx-platform,DL3025,DL,warning,,2616,72,Organization,Python,1317691
Pearson-Advance/edx-platform,DL3042,DL,warning,,2616,72,Organization,Python,1317691
Pearson-Advance/edx-platform,DL3013,DL,warning,,2616,72,Organization,Python,1317691
Pearson-Advance/edx-platform,DL3025,DL,warning,,2616,72,Organization,Python,1317691
