repo_name,smell_count,year,file_size,loc,owner_type,language,size,base_image_full,base_image
0118Add/openwrt_packit,0,2021,182,4,User,Shell,62967,scratch,scratch
01SMD/docs,2,2021,2883,47,User,JavaScript,752521,production,production
03k64/quiche,7,2021,1124,27,User,Rust,17387,martenseemann/quic-network-simulator-endpoint:latest,martenseemann/quic-network-simulator-endpoint
05st/v,2,2021,668,19,User,V,48868,buildpack-deps:buster-curl,buildpack-deps
0Tech/lbm-sdk,9,2022,2405,29,User,Go,109409,alpine:edge,alpine
0d3ng/jti-daspro-binder,7,2021,974,24,User,Jupyter Notebook,6365,openjdk:18-slim,openjdk
0kyn/openverse-frontend,0,2021,579,8,User,JavaScript,198801,node:14-alpine,node
0racl3z/MyEtherWallet,5,2021,286,12,User,Vue,580810,node:10.17.0-stretch,node
0x6f736f646f/Emojidetection,11,2019,535,7,User,CSS,409992,ubuntu,ubuntu
0xERR0R/meterNG,7,2020,928,29,User,TypeScript,1406,alpine,alpine
0xalpharush/slither,8,2020,916,20,User,Python,42582,ubuntu:bionic,ubuntu
0xe7/metasploit-framework,20,2022,3133,70,User,Ruby,726630,ruby:3.0.2-alpine3.12,ruby
0xgregor/axiom,4,2021,408,8,User,Shell,95510,ubuntu:latest,ubuntu
0z09e/Pivot-Lab,4,2021,315,11,User,Shell,3,debian:buster-slim,debian
10up/wp-php-fpm-dev,11,2021,1665,43,Organization,Shell,29,${BASE_IMAGE}:${PHP_VERSION}-ubuntu,${BASE_IMAGE}
1115501230/next-freenom,1,2021,372,13,User,PHP,2479,php:7.4.19-alpine3.13,php
117503445/push,0,2021,405,10,User,Java,106,openjdk:17-alpine,openjdk
123creation/AmeliaRobot,2,2021,1709,64,User,Python,1273,python:3.8.5-slim-buster,python
12ITS3-LF06/tessera-api,1,2021,262,12,Organization,TypeScript,362,node:14-alpine,node
1337joe/jellyfin,9,2022,4353,63,User,C#,53636,app,app
1337plus/beef,2,2021,3131,21,User,JavaScript,22074,ruby:2.6.3-alpine,ruby
1393F/KirieStation,12,2021,2461,61,User,DM,1219748,byond,byond
139bercy/decp-rama,14,2021,817,15,Organization,Shell,1539,python:3.9-slim,python
139bercy/pypel,1,2021,255,8,Organization,Python,504,python:3.8,python
13hannes11/ics-proxy,7,2022,493,13,User,Rust,84,debian:stable-slim,debian
14hhan/django-rest-framework-14th,10,2021,717,11,User,Python,69,python:3.8.3-alpine,python
18F/handbook,1,2020,197,8,Organization,JavaScript,45207,ruby:2.7.0,ruby
18F/join.tts.gsa.gov,4,2020,409,11,Organization,HTML,6163,ruby:2.7,ruby
18F/tock,8,2022,188,6,Organization,Python,18267,python:3.10,python
1SYST/docker-test,7,2020,279,8,User,Dockerfile,13,ubuntu,ubuntu
1c3t3a/Covid-19-analysis,1,2022,170,6,User,Jupyter Notebook,146046,python:3.9,python
1chiSensei/TypeScript,2,2020,252,6,User,TypeScript,1580203,node:current,node
1nf1nateL00p3r/jackhammer,8,2019,898,21,User,Java,66958,ubuntu:18.04,ubuntu
210726-java-react-serverless/get-books-fx,0,2021,205,5,Organization,Java,37,amazon/aws-lambda-java:8.al2,amazon/aws-lambda-java
210823-Enterprise/team-2-project-2,1,2021,184,4,Organization,Java,46,openjdk:8-jdk-alpine,openjdk
23andMe/super-linter,18,2022,20629,283,Organization,Shell,22638,final_slim,final_slim
24HeuresINSA/Overbookd-frontend,1,2021,474,14,Organization,Vue,18760,node:15.3.0-alpine3.10,node
