repo_name,file_name,smell_count,year,file_size,loc,owner_type,language,size,base_image_full,base_image
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerbasedebian_unstableDockerfile,6,2019,1397,20,User,C++,80243,,
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerbaseopensuse_leap_15.1Dockerfile,9,2019,400,8,User,C++,80243,opensuse/leap:15.1,opensuse/leap
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerrunciopensuse_leap_15.1Dockerfile,3,2019,2851,99,User,C++,80243,leechcraft/ci_opensuse_leap_15.1:latest,leechcraft/ci_opensuse_leap_15.1
5monkeys/djedi-cms,5monkeys/djedi-cms/Dockerfile,5,2019,371,12,Organization,CSS,4847,python:3.6,python
8cH9azbsFifZ/ebook2cw,8cH9azbsFifZ/ebook2cw/Dockerfile,8,2019,255,10,User,C,68,debian:buster-slim,debian
AOSPA/android_build,AOSPA/android_build/toolsdockerDockerfile,9,2019,1216,21,Organization,Makefile,75534,ubuntu:14.04,ubuntu
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/Dockerfile,1,2019,26,1,User,Java,1825,,
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/docker-maven-pluginsrcmainresourcesDockerfile,1,2019,22,1,User,Java,1825,,
AlbanAndrieu/nabla-projects-interview-visma,AlbanAndrieu/nabla-projects-interview-visma/dockercentos7Dockerfile,19,2019,2060,47,User,Java,1825,centos:7.3.1611,centos
Aleks-Ya/yaal_examples,Aleks-Ya/yaal_examples/JavaLibExtDockerfile,2,2019,501,12,User,Java,91899,openjdk:8-jdk-alpine,openjdk
Alfresco/records-management,Alfresco/records-management/rm-communityrm-community-sharejrebel-repoDockerfile,6,2019,495,5,Organization,Java,24541,alfresco/alfresco-governance-repository-community:latest,alfresco/alfresco-governance-repository-community
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,26,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
Atlantic18/CoralCoreBundle,Atlantic18/CoralCoreBundle/Dockerfile,7,2019,227,8,Organization,PHP,81,php:cli,php
AutoTestNET/AutoTest.ArgumentNullException,AutoTestNET/AutoTest.ArgumentNullException/Dockerfile,7,2019,3272,32,Organization,C#,627,mcr.microsoft.com/dotnet/core/sdk:2.2-alpine,mcr.microsoft.com/dotnet/core/sdk
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,30,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
BBN-Q/libaps2,BBN-Q/libaps2/dockercentos-6.7Dockerfile,10,2019,640,15,Organization,C++,7810,centos:6.7,centos
BinaryAnalysisPlatform/qira,BinaryAnalysisPlatform/qira/dockerDockerfile,8,2019,752,13,User,C,67920,ubuntu:16.04,ubuntu
Blazemeter/taurus,Blazemeter/taurus/examplesdockerDockerfile,5,2019,148,5,Organization,Python,28568,python,python
