repo_name,file_name,smell_code,type,level,year,file_size,loc,owner_type,language,size,base_image_full,base_image
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerbasedebian_unstableDockerfile,DL3009,DL,info,2019,1397,20,User,C++,80243,,
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerbasedebian_unstableDockerfile,DL3008,DL,warning,2019,1397,20,User,C++,80243,,
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerbasedebian_unstableDockerfile,DL3015,DL,info,2019,1397,20,User,C++,80243,,
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerbasedebian_unstableDockerfile,DL3059,DL,info,2019,1397,20,User,C++,80243,,
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerbasedebian_unstableDockerfile,DL3059,DL,info,2019,1397,20,User,C++,80243,,
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerbasedebian_unstableDockerfile,DL3059,DL,info,2019,1397,20,User,C++,80243,,
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerbaseopensuse_leap_15.1Dockerfile,DL3059,DL,info,2019,400,8,User,C++,80243,opensuse/leap:15.1,opensuse/leap
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerbaseopensuse_leap_15.1Dockerfile,DL3059,DL,info,2019,400,8,User,C++,80243,opensuse/leap:15.1,opensuse/leap
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerbaseopensuse_leap_15.1Dockerfile,DL3036,DL,warning,2019,400,8,User,C++,80243,opensuse/leap:15.1,opensuse/leap
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerbaseopensuse_leap_15.1Dockerfile,DL3059,DL,info,2019,400,8,User,C++,80243,opensuse/leap:15.1,opensuse/leap
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerbaseopensuse_leap_15.1Dockerfile,DL3037,DL,warning,2019,400,8,User,C++,80243,opensuse/leap:15.1,opensuse/leap
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerbaseopensuse_leap_15.1Dockerfile,DL3034,DL,warning,2019,400,8,User,C++,80243,opensuse/leap:15.1,opensuse/leap
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerbaseopensuse_leap_15.1Dockerfile,DL3059,DL,info,2019,400,8,User,C++,80243,opensuse/leap:15.1,opensuse/leap
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerbaseopensuse_leap_15.1Dockerfile,DL3059,DL,info,2019,400,8,User,C++,80243,opensuse/leap:15.1,opensuse/leap
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerbaseopensuse_leap_15.1Dockerfile,DL3059,DL,info,2019,400,8,User,C++,80243,opensuse/leap:15.1,opensuse/leap
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerrunciopensuse_leap_15.1Dockerfile,DL3007,DL,warning,2019,2851,99,User,C++,80243,leechcraft/ci_opensuse_leap_15.1:latest,leechcraft/ci_opensuse_leap_15.1
0xd34df00d/leechcraft,0xd34df00d/leechcraft/toolsdockerrunciopensuse_leap_15.1Dockerfile,DL3003,DL,warning,2019,2851,99,User,C++,80243,leechcraft/ci_opensuse_leap_15.1:latest,leechcraft/ci_opensuse_leap_15.1
